identifier_Id,identifier_fips,identifier_apn,identifier_attomId,address_country,address_countrySubd,address_line1,address_line2,address_locality,address_matchCode,address_oneLine,address_postal1,address_postal2,address_postal3,location_accuracy,location_latitude,location_longitude,location_distance,location_geoid,location_geoIdV4_CO,location_geoIdV4_CS,location_geoIdV4_DB,location_geoIdV4_N4,location_geoIdV4_PL,location_geoIdV4_SB,location_geoIdV4_ZI,vintage_lastModified,vintage_pubDate
180053,56021,16885000400010,180053,US,WY,4009 CARLA DR,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4009 CARLA DR, CHEYENNE, WY 82009",82009,5548,C041,Rooftop,41.165238,-104.759763,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102562, SB0000130743, SB0000130744, SB0000130754, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,22b24a91277613b572bb847840bad23d,802b98230660b6ebebd36a06ec9e541e,"2adc253f6a9750a26911d38c6cd21b9b, a12b93bb835a0e1cf6ffebe33c6738f4, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
228520,56021,18015000247070,228520,US,WY,4707 HICKORY PL,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4707 HICKORY PL, CHEYENNE, WY 82009",82009,5122,C030,Rooftop,41.161174,-104.780362,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0004933889, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,ac4725a7497f492cc0bda6e12e09ed2d,802b98230660b6ebebd36a06ec9e541e,"2adc253f6a9750a26911d38c6cd21b9b, 9ef520046d8a93b1b5320e8b9f7dcf2f, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
239936,56021,11054000400170,239936,US,WY,252 E IDAHO ST,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"252 E IDAHO ST, CHEYENNE, WY 82009",82009,8902,H056,Rooftop,41.208169,-104.825690,0.0,"CO56021, CS5690770, DB5601980, PL5663800, RS0005159805, SB0000130742, SB0000130746, SB0000130760, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,,d3249a2aecfeabe2a060e532ab7d2ad4,"744f36341a01a573d4ff7c61ea2cc7ed, 13e2c61b7838e57ac1998bbff557d090, 48585caa18b3bdabfd9131935f7694b4",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
240202,56021,11054000900012,240202,US,WY,9420 MICHIGAN ST,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"9420 MICHIGAN ST, CHEYENNE, WY 82009",82009,9613,R013,Rooftop,41.205629,-104.813626,0.0,"CO56021, CS5690770, DB5601980, PL5663800, SB0000130742, SB0000130746, SB0000130760, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,,d3249a2aecfeabe2a060e532ab7d2ad4,"744f36341a01a573d4ff7c61ea2cc7ed, 13e2c61b7838e57ac1998bbff557d090, 48585caa18b3bdabfd9131935f7694b4",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
263622,56021,13923000600141,263622,US,WY,4717 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4717 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.161592,-104.774526,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 2adc253f6a9750a26911d38c6cd21b9b, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
268220,56021,16913001700080,268220,US,WY,4701 ONTARIO AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4701 ONTARIO AVE, CHEYENNE, WY 82009",82009,5633,C041,Rooftop,41.161421,-104.752784,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0004937528, SB0000130743, SB0000130744, SB0000130754, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,9b701c3eef7d4f53098164dd4037751e,802b98230660b6ebebd36a06ec9e541e,"a12b93bb835a0e1cf6ffebe33c6738f4, 2adc253f6a9750a26911d38c6cd21b9b, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
273859,56021,15955000400100,273859,US,WY,6901 WILLSHIRE BLVD,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"6901 WILLSHIRE BLVD, CHEYENNE, WY 82009",82009,2708,C050,Rooftop,41.180283,-104.817633,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102427, SB0000130742, SB0000130746, SB0000130760, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,e3aaf6e44399487e30ca5076fa508856,802b98230660b6ebebd36a06ec9e541e,"744f36341a01a573d4ff7c61ea2cc7ed, 13e2c61b7838e57ac1998bbff557d090, 48585caa18b3bdabfd9131935f7694b4",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
276339,56021,13923000600110,276339,US,WY,4755 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4755 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.162781,-104.774516,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
278288,56021,14870001400040,278288,US,WY,729 APACHE ST,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"729 APACHE ST, CHEYENNE, WY 82009",82009,4220,C045,Rooftop,41.168310,-104.817293,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0004915984, SB0000130742, SB0000130746, SB0000130760, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,e9f102cd146fae8195186bfa168df984,802b98230660b6ebebd36a06ec9e541e,"744f36341a01a573d4ff7c61ea2cc7ed, 13e2c61b7838e57ac1998bbff557d090, 48585caa18b3bdabfd9131935f7694b4",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
302952,56021,00014006712100,302952,US,WY,7812 YELLOWSTONE RD,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"7812 YELLOWSTONE RD, CHEYENNE, WY 82009",82009,1618,H056,Rooftop,41.190017,-104.830300,0.0,"CO56021, CS5690715, DB5601980, PL5663800, SB0000130742, SB0000130746, SB0000130762, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,,d3249a2aecfeabe2a060e532ab7d2ad4,"744f36341a01a573d4ff7c61ea2cc7ed, 3213fa0a50a52e4a2881a92686f6c00e, 48585caa18b3bdabfd9131935f7694b4",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
