address,city,province,country,yearBuilt,price
506 Haverhill Ln,Safety Harbor,FL,US,1988,342500.0
5320 Forest Park Dr,North Fort Myers,FL,US,1976,37000.0
4450 58th Ave N,Saint Petersburg,FL,US,1951,28000.0
780 Hanbury Dr,Des Plaines,IL,US,2006,222000.0
707 HANBURY DR,DES PLAINES,IL,US,2005,125000.0
7782 Dutch Loop,Colorado Springs,CO,US,2013,299500.0
1163 Fay Ave,Largo,FL,US,1963,100.0
204 Roat St,Lehigh Acres,FL,US,1995,13900.0
201 Telfair Ct,Summerville,SC,US,1983,190000.0
453 Seaworthy Rd,North Fort Myers,FL,US,1991,261000.0
814 CAROLINA AVE,TARPON SPRINGS,FL,US,1978,240000.0
407 W Wheeler St,Rockwood,TN,US,1919,104400.0
762 Hanbury Dr,Des Plaines,IL,US,2002,287000.0
3104 Blacklick-Eastern Rd NW,Baltimore,OH,US,2017,4490000.0
2445 Columbus-Lancaster Rd NW,Lancaster,OH,US,2016,45000.0
68-629 Farrington Hwy,Waialua,HI,US,1965,938790.0
217 Sage Brk Ln,Cle Elum,WA,US,2007,310000.0
18768 Indigo Ln,Rockbridge,OH,US,1967,85000.0
5250 12th Ave N,Saint Petersburg,FL,US,1960,58000.0
263 Abbott Run Vly Rd,Cumberland,RI,US,1967,302500.0
664 Squirrel Run SW,Supply,NC,US,2025,45000.0
6608 Hilltop Ln SW,Lakewood,WA,US,1946,119000.0
3215 PRINCETON AVE,Philadelphia,PA,US,1950,220000.0
13420 Debbie Ln,CLERMONT,FL,US,1989,72200.0
3554 1ST AVE N,ST PETERSBURG,FL,US,1963,500000.0
2188 KENT AVE,LARGO,FL,US,1975,290000.0
1710 Sharkey Way,Lexington,KY,US,2010,738000.0
7832 Country Brk Ln,Reynoldsburg,OH,US,1988,158950.0
3222 TYSON AVE,Philadelphia,PA,US,1950,87000.0
8149 Chesapeake Way,Pickerington,OH,US,2023,821713.0
509 Woodland Dr,Brownsville,TN,US,2015,415000.0
17203 Fawn Cir Dr,SAN ANTONIO,TX,US,1990,495900.0
40 Steeple Ct,Reinholds,PA,US,1993,515000.0
1314 Tahiti Dr,Sanibel,FL,US,1974,270000.0
2848 NW 3rd Ter,Cape Coral,FL,US,2024,27000.0
4353 Gulf Pnes Dr,Sanibel,FL,US,2006,325000.0
12909 Spanaway Loop Rd S,Tacoma,WA,US,1988,1025000.0
3331 NW 5th St,Cape Coral,FL,US,2025,7500.0
2224 Balsan Way,Wellington,FL,US,2003,340000.0
4114 Chestnut St,Delavan,WI,US,1935,379900.0
8403 Taylor Chase Dr,Reynoldsburg,OH,US,2021,229900.0
